year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2012,2,m1x,予選B組,3,麻生 信吾(唐津ジュニアRCB),02:00.30,04:05.33,06:14.93,08:24.24,120.3,245.33,374.93,504.24,3,
2012,2,m1x,予選B組,6,武田 拓馬(鹿児島大学A),02:02.59,04:10.93,06:24.90,08:40.48,122.59,250.93,384.9,520.48,4,
2012,2,m1x,予選B組,5,加藤 大輝(京都大学),02:05.55,04:12.67,06:26.21,08:44.73,125.55,252.67,386.21,524.73,5,
2012,2,m1x,予選B組,2,宮林 勇太朗(成城大学),02:06.09,04:16.71,06:33.12,08:50.47,126.09,256.71,393.12,530.47,6,
2012,3,m1x,予選C組,1,秋葉 直人(中央大学杉並高校),02:06.26,04:15.37,06:31.55,08:43.12,126.26,255.37,391.55,523.12,1,→Semi-Final
2012,3,m1x,予選C組,5,杉山 諒(加茂高校),02:03.60,04:13.78,06:30.46,08:43.15,123.6,253.78,390.46,523.15,2,
2012,3,m1x,予選C組,4,上杉 昂也(小樽商科大学B),02:07.34,04:16.00,06:28.30,08:48.82,127.34,256.0,388.3,528.82,3,
2012,3,m1x,予選C組,2,佐々木 貴広(明治大学B),02:09.96,04:20.72,06:38.12,08:54.37,129.96,260.72,398.12,534.37,4,
2012,3,m1x,予選C組,6,河原 康宏(金沢大学B),02:05.18,04:17.28,06:36.80,08:57.25,125.18,257.28,396.8,537.25,5,
2012,3,m1x,予選C組,3,紀内 航(慶應義塾大学D),02:15.82,04:33.64,06:58.29,09:21.00,135.82,273.64,418.29,561.0,6,
2012,4,m1x,予選D組,1,竹内 友哉(今治西高校A),01:53.73,03:54.07,06:00.32,08:10.22,113.72999999999999,234.07,360.32,490.22,1,→Semi-Final
2012,4,m1x,予選D組,2,池口 開(日本大学C),01:52.23,03:55.04,06:06.90,08:12.68,112.22999999999999,235.04,366.9,492.68,2,
2012,4,m1x,予選D組,4,川村 真生(慶應義塾大学C),02:08.45,04:21.34,06:39.33,09:01.43,128.45,261.34,399.33,541.43,3,
2012,4,m1x,予選D組,5,下村 義雄(大阪府立大学),02:09.04,04:26.38,06:49.47,09:11.67,129.04,266.38,409.47,551.67,4,
2012,4,m1x,予選D組,3,尾崎 諒史(長崎大学医学部),02:17.51,04:44.06,07:05.08,09:29.30,137.51,284.06,425.08,569.3,5,
2012,4,m1x,予選D組,6,立川 哲之(筑波大学C),02:24.57,04:48.41,07:15.72,09:49.63,144.57,288.40999999999997,435.72,589.63,6,
2012,5,m1x,予選E組,3,大木 俊輔(唐津ジュニアRCA),01:56.17,04:02.45,06:10.93,08:24.67,116.17,242.45,370.93,504.67,1,→Semi-Final
2012,5,m1x,予選E組,2,宮原 孝行(熊本大学B),02:04.25,04:15.38,06:28.58,08:46.71,124.25,255.38,388.58,526.71,2,
2012,5,m1x,予選E組,5,寺尾 哲也(東京経済大学A),02:03.02,04:22.35,06:31.69,08:52.70,123.02,262.35,391.69,532.7,3,
2012,5,m1x,予選E組,4,富田 剣志(今治西高校B),02:08.52,04:13.57,06:38.34,08:58.45,128.52,253.57,398.34000000000003,538.45,4,
2012,5,m1x,予選E組,1,山路 康太(首都大学東京),02:15.72,04:40.64,07:09.36,09:46.32,135.72,280.64,429.36,586.32,5,
2012,5,m1x,予選E組,6,秋丸 末拡(鹿児島大学B),02:21.55,04:56.80,07:41.11,10:40.20,141.55,296.8,461.11,40.2,6,
2012,6,m1x,予選F組,6,繁田 涼(関西電力美浜A),01:52.99,03:57.13,06:02.76,08:05.20,112.99000000000001,237.13,362.76,485.2,1,→Semi-Final
2012,6,m1x,予選F組,1,浅妻 幹晴(日本大学B),01:54.92,04:00.32,06:10.44,08:16.42,114.92,240.32,370.44,496.42,2,
2012,6,m1x,予選F組,3,柳橋 賢(東京医科歯科大学A),01:54.70,04:01.36,06:13.56,08:21.39,114.7,241.36,373.56,501.39,3,
